,S_AE,S_An,S_En,S_AF,S_EF,S_nF,S_A,S_E,S_n,S_F,V_tot
0,8.857604064140185e-33,2.4795267778282994e-33,1.0621172291435535e-32,7.5401353987487235e-34,1.0789339350329858e-32,8.891938637711524e-33,3.428452926790034e-33,1.2255241347343478e-32,9.063837887678136e-33,1.610991214517359e-34,1.6411405246966698e-32
1,4.153365857367662e-32,1.2038337158384169e-32,4.954793509522907e-32,3.912544231241802e-33,5.031977862428683e-32,4.178302476583244e-32,1.6864101753649758e-32,5.707144131191717e-32,4.2224468501802427e-32,7.670167728600908e-34,7.605804154198836e-32
2,1.846744106782465e-31,5.537655038848183e-32,2.1920140879808297e-31,1.913421320001189e-32,2.22548338129989e-31,1.8609796210111391e-31,7.841287108362953e-32,2.5201361588471253e-31,1.865363879141791e-31,3.457351416986955e-33,3.3431271875834728e-31
3,7.807066337546113e-31,2.419738044832786e-31,9.22099890957996e-31,8.846202449086522e-32,9.358546185931063e-31,7.87733630154527e-31,3.4561878712180193e-31,1.0580201820094533e-30,7.835304926710748e-31,1.4794751609469584e-32,1.397393674393094e-30
4,3.1456841305312948e-30,1.0067960074276112e-30,3.6974415507679536e-30,3.8773211196241292e-31,3.7511696057799824e-30,3.1768159611158834e-30,1.4479011704499939e-30,4.233554446926961e-30,3.13695389430208e-30,6.025824021158557e-32,5.5681765455050585e-30
5,1.210839794664698e-29,3.9978451821898954e-30,1.416485533099669e-29,1.6154238823528618e-30,1.436486785547508e-29,1.2234508977980822e-29,5.779407884908295e-30,1.6183075038029098e-29,1.1998182032600024e-29,2.34161804761731e-31,2.1199878317899812e-29
6,4.462046619245009e-29,1.5182436701206597e-29,5.195681776354786e-29,6.413520313675165e-30,5.266819687586104e-29,4.509246398631697e-29,2.203095209183854e-29,5.922409455474537e-29,4.3934685426369737e-29,8.701331633189237e-31,7.728790685673884e-29
7,1.577349638197449e-28,5.525248812637054e-29,1.8283684110369936e-28,2.4320214840088015e-29,1.852597656123989e-28,1.5937681427355749e-28,8.037630459747641e-29,2.079184842150044e-28,1.5433133830200548e-28,3.098438760152588e-30,2.703452156520646e-28
8,5.358993085872704e-28,1.930499122494542e-28,6.184307672140724e-28,8.827562583544393e-29,6.263505640128856e-28,5.412220926092529e-28,2.8122152591341156e-28,7.015602743454534e-28,5.210388163541248e-28,1.0593712826821866e-29,9.090138742336863e-28
9,1.7529263040007404e-27,6.487241668152022e-28,2.0141370088126518e-27,3.0732576106835396e-28,2.039031549870236e-27,1.76900720537717e-27,9.454132877525033e-28,2.2792015412867375e-27,1.693634746925454e-27,3.484251856663502e-29,2.9432816885542748e-27
10,5.5295065081259825e-27,2.1001235209218182e-27,6.3266650045852064e-27,1.0281808339592175e-27,6.402058949001224e-27,5.574616035372906e-27,3.0593156056698155e-27,7.141143772137906e-27,5.309101959429947e-27,1.104298087584018e-28,9.192224534980139e-27
11,1.6847103857381185e-26,6.560017091704911e-27,1.9196528907527222e-26,3.3115359374482165e-27,1.941691708270845e-26,1.696351299838769e-26,9.54523757977802e-27,2.161215687645247e-26,1.6074929705758717e-26,3.3782586779815024e-28,2.773395019436773e-26
12,4.964945248866181e-26,1.980085232106057e-26,5.634648977270578e-26,1.0285114034153341e-26,5.696935244459507e-26,4.992018787018501e-26,2.8760503518952455e-26,6.327200310089339e-26,4.708030705490048e-26,9.990838337021627e-28,8.095434062086677e-26
13,1.4172662926574686e-25,5.783488835493864e-26,1.6021556917295265e-25,3.08528485574611e-26,1.6192024108766377e-25,1.422666623350189e-25,8.38109816670483e-26,1.7943573254584702e-25,1.3356433520747989e-25,2.8605355388149754e-27,2.2893067446287414e-25
14,3.9237353553371144e-25,1.6368111854160667e-25,4.418751149128248e-25,8.952297718662217e-26,4.463998104377287e-25,3.9315973646679123e-25,2.3654310830965445e-25,4.935788163012946e-25,3.675086589387663e-25,7.940120997849694e-27,6.280110256882647e-25
15,1.0548511181484972e-24,4.494225513131787e-25,1.1835401231755968e-24,2.516147036868097e-25,1.195204461647394e-24,1.0549072260644576e-24,6.474410128240569e-25,1.318526232045087e-24,9.819824841550144e-25,2.1394678998361444e-26,1.6732555891827897e-24
16,2.7569475934526987e-24,1.1986019125422522e-24,3.082174873079972e-24,6.859210284719998e-25,3.1114194105010387e-24,2.7513723175569063e-24,1.7207349698620586e-24,3.424605201896819e-24,2.5509553311093253e-24,5.602949368401971e-26,4.335027692906109e-24
17,7.012730573055451e-24,3.1084810433635628e-24,7.812630421165336e-24,1.815895094022731e-24,7.884031892782586e-24,6.983240724558992e-24,4.445952913027506e-24,8.657627690587013e-24,6.4497274653483246e-24,1.4277897589155222e-25,1.093280122925786e-23
18,1.7378692467799444e-23,7.847632923975905e-24,1.9295336202120226e-23,4.674096200347705e-24,1.9465311466246147e-23,1.7266086669612744e-23,1.1179900318424305e-23,2.1325802785833445e-23,1.588803320119207e-23,3.5442616692681428e-25,2.686772151423025e-23
19,4.1999547101885243e-23,1.9305747687788906e-23,4.6478061757876567e-23,1.1710577234531733e-23,4.6873060203425046e-23,4.162866413618065e-23,2.7389998668306617e-23,5.123389209336882e-23,3.816946978875508e-23,8.579328305969774e-25,6.440446353314638e-23
20,9.90772032078669e-23,4.6324419296737053e-23,1.0929177926865659e-22,2.8588402132210403e-23,1.1018885558390014e-22,9.796305952038884e-23,6.544271334428295e-23,1.2015993570325919e-22,8.951254022755954e-23,2.0271002429356725e-24,1.5072678152184464e-22
21,2.2834302155060093e-22,1.0851895692301605e-22,2.511037404099056e-22,6.807143338033332e-23,2.5309698562369367e-22,2.2521216393034357e-22,1.52635984828407e-22,2.7535707572809197e-22,2.050958892899818e-22,4.679483814373394e-24,3.4469649883259714e-22
22,5.145769763824526e-22,2.4839937363814316e-22,5.641672315757585e-22,1.5823872425924468e-22,5.685047697872257e-22,5.062316588794417e-22,3.478311215840382e-22,6.170652572025141e-22,4.595144640439188e-22,1.056348331563695e-23,7.709360190914359e-22
23,1.1347676445606872e-21,5.560359619167166e-22,1.2404975942988026e-21,3.594357835214512e-22,1.2497512394744525e-21,1.1134846319623303e-21,7.7511301125900865e-22,1.3533489293987078e-21,1.007525096857974e-21,2.3338297171234646e-23,1.6876384798386567e-21
24,2.4506745836738825e-21,1.2181570718691982e-21,2.671434289801542e-21,7.984689021489282e-22,2.690806867081048e-21,2.398437694036032e-21,1.6904286364737117e-21,2.9071028502356835e-21,2.163489875872553e-21,5.050474534509486e-23,3.618656737359406e-21
25,5.186785824724489e-21,2.6138189755578448e-21,5.6385103821321305e-21,1.7360862054129084e-21,5.6783456532458484e-21,5.062873756248628e-21,3.610738750501175e-21,6.120608459041988e-21,4.553104012851532e-21,1.0713401531485862e-22,7.605595057485439e-21
26,1.0765679873107433e-20,5.497021792313067e-21,1.1672154990652935e-20,3.697359199789315e-21,1.1752681247641425e-20,1.0480684301078285e-20,7.559237398823851e-21,1.2638879232938713e-20,9.397446552651316e-21,2.229307354026065e-22,1.5679507835851848e-20
27,2.19279028470348e-20,1.133840760728853e-20,2.3712941324027007e-20,7.718496139033772e-21,2.3873104523085466e-20,2.1290735513844127e-20,1.5521794645201364e-20,2.5614380131943642e-20,1.9034564813212677e-20,4.553654421980726e-22,3.172679001143361e-20
28,4.3856454843722093e-20,2.2952395063006994e-20,4.730801812296835e-20,1.5804913487008098e-20,4.7621701696476384e-20,4.2468874030793084e-20,3.1280393132866284e-20,5.0978633655529566e-20,3.7859437408054006e-20,9.136583302171145e-22,6.304950328492368e-20
29,8.617991003880717e-20,4.562684787563797e-20,9.273704769924475e-20,3.176527490770888e-20,9.334246475856916e-20,8.323139561453683e-20,6.190687158980404e-20,9.969565629003873e-20,7.398737843931968e-20,1.8018307824173583e-21,1.2312703008379105e-19
30,1.664782939314992e-19,8.912135261906243e-20,1.7872400141459949e-19,6.270218369624132e-20,1.7987629314091313e-19,1.6035579510073484e-19,1.2039224224290527e-19,1.9168592895622284e-19,1.4214614181249868e-19,3.494708335642302e-21,2.364195662660819e-19
31,3.1631481125819446e-19,1.7114020239708134e-19,3.3880812340455286e-19,1.2162905439768028e-19,3.409723694598327e-19,3.0387568475628727e-19,2.3019452231919934e-19,3.625439440805423e-19,2.686187166582553e-19,6.669959123642757e-21,4.46582933065473e-19
32,5.914416331196957e-19,3.2326580866802946e-19,6.320990918511339e-19,2.319844932296204e-19,6.36112917692504e-19,5.666859523635682e-19,4.329722307713128e-19,6.7484925997844555e-19,4.995508702540841e-19,1.2533956412391337e-20,8.302881827680535e-19
33,1.0887902195032357e-18,6.009278828994879e-19,1.1611422534984368e-18,4.352891267804772e-19,1.1684970172419182e-18,1.0404823818365512e-18,8.015191594567302e-19,1.236907458567423e-18,9.146883438209225e-19,2.3202403507245447e-20,1.5201008986069533e-18
34,1.9743122694366847e-18,1.0998832344444587e-18,2.1011302799812517e-18,8.039198017314182e-19,2.114452201055282e-18,1.8817982814303215e-18,1.4610525991481107e-18,2.233317085134779e-18,1.649734128690713e-18,4.2332577444603297e-20,2.7417733226463516e-18
35,3.527901512331375e-18,1.9830291395595728e-18,3.7469381881047946e-18,1.462081441187187e-18,3.770803189159476e-18,3.35388265745128e-18,2.623703098864211e-18,3.974065524910346e-18,2.9321737918478097e-18,7.615899948361005e-20,4.874110888205376e-18
36,6.2147890854071285e-18,3.523358304225154e-18,6.587725674180204e-18,2.619701475860841e-18,6.6300256580757215e-18,5.893049435727685e-18,4.643540516531863e-18,6.972210643520582e-18,5.137814987319512e-18,1.351672788616873e-19,8.543660340747932e-18
37,1.0797347807723873e-17,6.171735237636575e-18,1.1423533090427161e-17,4.626376362612914e-18,1.1497744449262714e-17,1.0212254511558267e-17,8.103054221289285e-18,1.2064997819404979e-17,8.878695649150948e-18,2.3676442618957436e-19,1.4772310943440586e-17
38,1.850765316098789e-17,1.0662255245156372e-17,1.954489301582557e-17,8.055954468861644e-18,1.9673806906467846e-17,1.74604598442233e-17,1.3947078389081264e-17,2.0599993145512928e-17,1.5137772511353624e-17,4.0948566539996773e-19,2.52041201093742e-17
39,3.131004285972304e-17,1.8173644030974892e-17,3.3005607952122335e-17,1.383721650855651e-17,3.322740583545643e-17,2.9464357952512894e-17,2.368720922629435e-17,3.4717101539516714e-17,2.547231925318215e-17,6.995418375012259e-19,4.244903963021325e-17
40,5.229503217429845e-17,3.0572961931587045e-17,5.503125312388248e-17,2.345287714446482e-17,5.540930850110085e-17,4.9089899493051154e-17,3.970939744416395e-17,5.77699242380824e-17,4.231672318562866e-17,1.1808906702427396e-18,7.05966598732925e-17
41,8.626213938702762e-17,5.077837040313899e-17,9.062251763269451e-17,3.923833795351192e-17,9.126106049073088e-17,8.077553246444162e-17,6.573031427861365e-17,9.494664632408262e-17,6.94269065733456e-17,1.9705534625941184e-18,1.159736948909535e-16
42,1.405704084301216e-16,8.329154430214932e-17,1.4743415232009253e-16,6.482391995048855e-17,1.4850306799484514e-16,1.3130793462167585e-16,1.0746505873809377e-16,1.541724624779224e-16,1.1252346890741056e-16,3.2516544010020402e-18,1.882459167886512e-16
43,2.2636266953977017e-16,1.3496814284903727e-16,2.370380300060884e-16,1.0578040571971827e-16,2.3881175093863967e-16,2.1093512328881784e-16,1.7359060333761253e-16,2.4740339017586887e-16,1.802093640208216e-16,5.307709171447262e-18,3.0199989089991043e-16
44,3.6030376449857326e-16,2.161172106890169e-16,3.767135417622079e-16,1.705483557988667e-16,3.7963146900276223e-16,3.3494189458973507e-16,2.77116815159487e-16,3.9245602271138435e-16,2.8526086610782426e-16,8.57313166918815e-18,4.789833887261327e-16
45,5.67014746129609e-16,3.420479331153037e-16,5.919508942905525e-16,2.717574918968736e-16,5.967103858805219e-16,5.258490723360552e-16,4.3731049500078404e-16,6.155598955355215e-16,4.464178310652512e-16,1.3706888985527783e-17,7.5123674818526705e-16
46,8.824346073873435e-16,5.352149472853326e-16,9.199029689807579e-16,4.2807391926967963e-16,9.276011020886813e-16,8.16441064196595e-16,6.823578063710504e-16,9.548686877066053e-16,6.908304196695432e-16,2.169887535040624e-17,1.1654111782668437e-15
47,1.3583977066989892e-15,8.281509644658202e-16,1.4140785092127481e-15,6.667501500343044e-16,1.426426158874576e-15,1.25387497541717e-15,1.0529961816582135e-15,1.4652225476604304e-15,1.0573533345685198e-15,3.402209460716948e-17,1.7886436240121765e-15
48,2.0687766800841654e-15,1.2674164200071615e-15,2.150631409865061e-15,1.027095165629345e-15,2.170273471179216e-15,1.905177056382267e-15,1.6073966635664944e-15,2.2245140933818802e-15,1.6009129018017998e-15,5.2848382746597876e-17,2.716439425732303e-15
49,3.117603208670218e-15,1.9188375119303575e-15,3.2366636752736647e-15,1.5651274371475483e-15,3.267653492393618e-15,2.86448483936604e-15,2.4276284112269105e-15,3.342070696753829e-15,2.3982030494045375e-15,8.135146217492518e-17,4.083099578911497e-15
50,4.6496356564802955e-15,2.8743416736623347e-15,4.821016257264018e-15,2.359719668978151e-15,4.869511773854854e-15,4.262439787675489e-15,3.62808322341816e-15,4.969518239848023e-15,3.554987267126036e-15,1.2412894626156934e-16,6.075311841010387e-15
