,T,gas_prod,std_gas_prod
0,300.0,1.7919648730085134e-06,1e-05
1,305.5,-8.310992152128903e-06,1e-05
2,311.0,-1.3090373643331502e-05,1e-05
3,316.5,1.9388774151597776e-06,1e-05
4,322.0,9.932497040852608e-06,1e-05
5,327.5,-6.469816294409579e-06,1e-05
6,333.0,-3.3366798162046836e-06,1e-05
7,338.5,1.645671764765702e-05,1e-05
8,344.0,-5.588897579705563e-06,1e-05
9,349.5,-5.141566485096037e-06,1e-05
10,355.0,2.404119358641551e-05,1e-05
11,360.5,-1.5310825460139272e-05,1e-05
12,366.0,7.964659222185483e-06,1e-05
13,371.5,-2.0036483762713447e-05,1e-05
14,377.0,-5.969625096269761e-06,1e-05
15,382.5,1.503681280042995e-05,1e-05
16,388.0,1.2214370663589952e-05,1e-05
17,393.5,-9.01119091706569e-06,1e-05
18,399.0,-4.5369703713054555e-06,1e-05
19,404.5,8.023571540488725e-07,1e-05
20,410.0,-1.2580991288460229e-05,1e-05
21,415.5,5.522264309077732e-06,1e-05
22,421.0,2.2275870854298524e-05,1e-05
23,426.5,-1.3552267292401356e-05,1e-05
24,432.0,-1.981511052566479e-05,1e-05
25,437.5,2.882762789183651e-06,1e-05
26,443.0,-1.1907572319328677e-06,1e-05
27,448.5,1.804398894474594e-05,1e-05
28,454.0,-1.602631354424686e-06,1e-05
29,459.5,-5.05186951657607e-07,1e-05
30,465.0,-1.9067477846853826e-06,1e-05
31,470.5,-9.903273616209302e-06,1e-05
32,476.0,6.734175517613871e-06,1e-05
33,481.5,-1.3235478786945904e-05,1e-05
34,487.0,1.1672221738488117e-05,1e-05
35,492.5,9.371579562992665e-08,1e-05
36,498.0,5.049744136432692e-06,1e-05
37,503.5,-5.509609327385465e-06,1e-05
38,509.0,-9.177888328996251e-06,1e-05
39,514.5,1.8034499005040777e-05,1e-05
40,520.0,4.727470496052741e-06,1e-05
41,525.5,1.2124999536550658e-05,1e-05
42,531.0,1.94281374798095e-06,1e-05
43,536.5,2.6208796457098807e-05,1e-05
44,542.0,3.694469122903704e-06,1e-05
45,547.5,-1.014489929739573e-05,1e-05
46,553.0,7.880445119948486e-06,1e-05
47,558.5,4.500986632053663e-06,1e-05
48,564.0,-2.2898144955757826e-05,1e-05
49,569.5,-7.648961902951863e-07,1e-05
50,575.0,1.0295573874880222e-05,1e-05
51,580.5,8.62710877530849e-06,1e-05
52,586.0,-2.63013097610653e-06,1e-05
53,591.5,-1.1181154908118095e-05,1e-05
54,597.0,6.07705629318201e-06,1e-05
55,602.5,-1.0029911133509039e-05,1e-05
56,608.0,1.4992759064931614e-05,1e-05
57,613.5,-9.363688087721802e-07,1e-05
58,619.0,-6.66807347808353e-06,1e-05
59,624.5,-2.5569912904333105e-06,1e-05
60,630.0,-4.349988636148526e-06,1e-05
