,time,temperature,rho,dRho
0,0.0,300.0,100.0,0.0
1,10.6647,365.05400000000003,100.0,0.0
2,12.3733,375.477,99.9,0.009594166746618059
3,14.1238,386.155,99.9,0.0
4,16.1362,398.431,99.9,0.0
5,18.3855,412.151,99.8,0.00728862973760932
6,20.6208,425.787,99.7,0.007333528894103871
7,22.9607,440.06,99.7,0.0
8,25.5137,455.63300000000004,99.6,0.00642137032042639
9,28.1908,471.964,99.5,0.00612332374012614
10,30.8114,487.95,99.4,0.00625547353934694
11,33.5052,504.38199999999995,99.3,0.006085686465433299
12,36.6151,523.352,99.1,0.010542962572499998
13,40.006,544.036,98.8,0.0145039644169
14,43.7382,566.803,98.3,0.0219616111038
15,47.8764,592.0459999999999,97.5,0.0316919542051
16,52.0973,617.794,96.5,0.0388379679975
17,56.0185,641.7130000000001,95.2,0.054350098248300005
18,59.6745,664.0139999999999,93.8,0.0627774539258
19,63.309,686.185,92.1,0.07667673988539998
20,66.5397,705.8919999999999,90.9,0.06089206880800001
21,69.3867,723.2589999999999,89.6,0.0748546093165
22,72.2241,740.567,88.6,0.0577767506355
23,74.9935,757.46,87.6,0.059196116734699995
24,77.5994,773.3560000000001,86.9,0.044036235531
25,80.2533,789.545,86.2,0.043239236518600004
26,82.8614,805.454,85.7,0.031428751021400005
27,85.4125,821.0160000000001,85.2,0.03212954633079999
28,87.9211,836.319,84.8,0.0261386656211
29,90.3756,851.291,84.5,0.0200374031526
30,93.0044,867.327,84.2,0.0187079072088
31,95.6269,883.324,83.9,0.0187535162843
32,98.0787,898.28,83.7,0.0133725595079
33,100.411,912.507,83.5,0.014057777465399999
34,102.93299999999999,927.8889999999999,83.3,0.0130022103758
35,105.461,943.315,83.1,0.012965123816900001
36,107.995,958.77,82.9,0.012940795858900001
37,110.65799999999999,975.0139999999999,82.8,0.00615611918246737
38,113.287,991.053,82.6,0.012469605337
39,115.81700000000001,1006.48,82.5,0.00648214169961755
40,118.238,1021.25,82.3,0.013540961408299999
41,120.834,1037.09,82.2,0.0063131313131313494
42,123.64299999999999,1054.23,82.0,0.011668611435200002
43,126.416,1071.14,81.9,0.00591366055588407
44,129.22,1088.24,81.8,0.005847953216374301
45,132.17700000000002,1106.28,81.6,0.0110864745011
46,135.107,1124.15,81.5,0.005595970900951279
47,137.798,1140.57,81.4,0.0060901339829476904
48,140.332,1156.03,81.3,0.006468305304010338
49,143.072,1172.74,81.1,0.0119688809096
50,145.778,1189.25,81.0,0.006056935190793471
51,148.385,1205.15,80.9,0.0062893081761006
52,151.142,1221.96,80.8,0.005948839976204661
53,153.864,1238.57,80.7,0.006020469596628579
54,156.399,1254.03,80.6,0.006468305304010338
55,158.762,1268.45,80.5,0.00693481276005545
56,161.312,1284.0,80.4,0.0064308681672026
57,163.84900000000002,1299.48,80.3,0.006459948320413431
58,166.352,1314.75,80.2,0.0065487884741323
59,169.011,1330.97,80.1,0.00616522811344019
60,171.61,1346.82,80.0,0.0063091482649842694
61,174.08599999999998,1361.93,79.9,0.006618133686300411
62,176.424,1376.19,79.8,0.007012622720897629
63,178.905,1391.32,79.8,0.0
64,181.485,1407.06,79.7,0.0063532401524777704
65,183.84900000000002,1421.48,79.6,0.00693481276005545
66,186.046,1434.88,79.5,0.007462686567164129
67,188.15,1447.72,79.4,0.00778816199376953
68,190.104,1459.63,79.4,0.0
