,Unnamed: 0,time,temperature,rho,dRho,std_dRho
0,0,0.0,300.0,100.0,0.0,0.01
1,1,10.6647,365.054,100.0,0.0,0.01
2,2,12.3733,375.477,99.9,0.00959416674661806,0.01
3,3,14.1238,386.155,99.9,0.0,0.01
4,4,16.1362,398.431,99.9,0.0,0.01
5,5,18.3855,412.151,99.8,0.0072886297376093204,0.01
6,6,20.6208,425.787,99.7,0.0073335288941038706,0.01
7,7,22.9607,440.06,99.7,0.0,0.01
8,8,25.5137,455.633,99.6,0.0064213703204263894,0.01
9,9,28.1908,471.964,99.5,0.00612332374012614,0.01
10,10,30.8114,487.95,99.4,0.00625547353934694,0.01
11,11,33.5052,504.382,99.3,0.006085686465433299,0.01
12,12,36.6151,523.352,99.1,0.010542962572499998,0.01
13,13,40.006,544.036,98.8,0.0145039644169,0.01
14,14,43.7382,566.803,98.3,0.0219616111038,0.01
15,15,47.8764,592.0459999999998,97.5,0.031691954205099994,0.01
16,16,52.0973,617.794,96.5,0.0388379679975,0.01
17,17,56.0185,641.7130000000002,95.2,0.054350098248300005,0.01
18,18,59.6745,664.0139999999999,93.8,0.0627774539258,0.01
19,19,63.309,686.185,92.1,0.07667673988539997,0.01
20,20,66.5397,705.8919999999998,90.9,0.060892068808000015,0.01
21,21,69.3867,723.2589999999999,89.6,0.0748546093165,0.01
22,22,72.2241,740.567,88.6,0.0577767506355,0.01
23,23,74.9935,757.46,87.6,0.0591961167347,0.01
24,24,77.5994,773.3560000000001,86.9,0.044036235531,0.01
25,25,80.2533,789.545,86.2,0.0432392365186,0.01
26,26,82.8614,805.454,85.7,0.031428751021400005,0.01
27,27,85.4125,821.0160000000002,85.2,0.032129546330799987,0.01
28,28,87.9211,836.319,84.8,0.0261386656211,0.01
29,29,90.3756,851.291,84.5,0.020037403152599997,0.01
30,30,93.0044,867.327,84.2,0.0187079072088,0.01
31,31,95.6269,883.324,83.9,0.018753516284299998,0.01
32,32,98.0787,898.28,83.7,0.013372559507899999,0.01
33,33,100.411,912.507,83.5,0.0140577774654,0.01
34,34,102.933,927.889,83.3,0.0130022103758,0.01
35,35,105.461,943.315,83.1,0.0129651238169,0.01
36,36,107.995,958.77,82.9,0.0129407958589,0.01
37,37,110.658,975.014,82.8,0.00615611918246737,0.01
38,38,113.287,991.053,82.6,0.012469605337,0.01
39,39,115.817,1006.48,82.5,0.00648214169961755,0.01
40,40,118.238,1021.25,82.3,0.0135409614083,0.01
41,41,120.834,1037.09,82.2,0.0063131313131313494,0.01
42,42,123.643,1054.23,82.0,0.011668611435200002,0.01
43,43,126.416,1071.14,81.9,0.00591366055588407,0.01
44,44,129.22,1088.24,81.8,0.005847953216374301,0.01
45,45,132.17700000000002,1106.28,81.6,0.0110864745011,0.01
46,46,135.107,1124.15,81.5,0.005595970900951279,0.01
47,47,137.798,1140.57,81.4,0.00609013398294769,0.01
48,48,140.332,1156.03,81.3,0.006468305304010338,0.01
49,49,143.072,1172.74,81.1,0.011968880909599999,0.01
50,50,145.778,1189.25,81.0,0.006056935190793471,0.01
51,51,148.385,1205.15,80.9,0.0062893081761006,0.01
52,52,151.142,1221.96,80.8,0.0059488399762046605,0.01
53,53,153.864,1238.57,80.7,0.006020469596628579,0.01
54,54,156.399,1254.03,80.6,0.006468305304010338,0.01
55,55,158.762,1268.45,80.5,0.00693481276005545,0.01
56,56,161.312,1284.0,80.4,0.0064308681672026,0.01
57,57,163.84900000000005,1299.48,80.3,0.006459948320413431,0.01
58,58,166.352,1314.75,80.2,0.0065487884741323,0.01
59,59,169.011,1330.97,80.1,0.0061652281134401896,0.01
60,60,171.61,1346.82,80.0,0.006309148264984269,0.01
61,61,174.08599999999996,1361.93,79.9,0.006618133686300411,0.01
62,62,176.424,1376.19,79.8,0.0070126227208976285,0.01
63,63,178.905,1391.32,79.8,0.0,0.01
64,64,181.485,1407.06,79.7,0.0063532401524777704,0.01
65,65,183.849,1421.48,79.6,0.00693481276005545,0.01
66,66,186.046,1434.88,79.5,0.0074626865671641295,0.01
67,67,188.15,1447.72,79.4,0.007788161993769529,0.01
68,68,190.104,1459.63,79.4,0.0,0.01
