,dRho,rho,temperature,time
0,0.0033560299163697105,100.0,300.0,0.0
1,0.002172070978152257,100.0,365.05400000000003,10.6647
2,0.0018075237889415953,99.9,375.477,12.3733
3,0.005026688896827985,99.9,386.155,14.1238
4,0.003385543516512544,99.9,398.431,16.1362
5,0.0038706048581411837,99.8,412.151,18.3855
6,0.005015152832528439,99.7,425.787,20.6208
7,0.00490144827130809,99.7,440.06,22.9607
8,0.004682479687000625,99.6,455.63300000000004,25.5137
9,0.00568171815636683,99.5,471.964,28.1908
10,0.006817222351703742,99.4,487.95,30.8114
11,0.00836992307602575,99.3,504.38199999999995,33.5052
12,0.012367619667984974,99.1,523.352,36.6151
13,0.018310009054806866,98.8,544.036,40.006
14,0.026188267447972865,98.3,566.803,43.7382
15,0.03586978940955689,97.5,592.0459999999999,47.8764
16,0.04800116307498922,96.5,617.794,52.0973
17,0.058648119183039145,95.2,641.7130000000001,56.0185
18,0.06633044002016505,93.8,664.0139999999999,59.6745
19,0.0700426905503681,92.1,686.185,63.309
20,0.06906944675719448,90.9,705.8919999999999,66.5397
21,0.06463341964621389,89.6,723.2589999999999,69.3867
22,0.059059400669882356,88.6,740.567,72.2241
23,0.05157501495979322,87.6,757.46,74.9935
24,0.04369107704079307,86.9,773.3560000000001,77.5994
25,0.037709915931802646,86.2,789.545,80.2533
26,0.0323502684012284,85.7,805.454,82.8614
27,0.027527550513639438,85.2,821.0160000000001,85.4125
28,0.023687646202831647,84.8,836.319,87.9211
29,0.020510089155841453,84.5,851.291,90.3756
30,0.017539971672576725,84.2,867.327,93.0044
31,0.015871240899160192,83.9,883.324,95.6269
32,0.014459586805280993,83.7,898.28,98.0787
33,0.013578471493450088,83.5,912.507,100.411
34,0.012826957911548701,83.3,927.8889999999999,102.93299999999999
35,0.011844668896548942,83.1,943.315,105.461
36,0.01052722418059713,82.9,958.77,107.995
37,0.009651590609980363,82.8,975.0139999999999,110.65799999999999
38,0.009420630621114876,82.6,991.053,113.287
39,0.009775714900104874,82.5,1006.48,115.81700000000001
40,0.0099217062790194,82.3,1021.25,118.238
41,0.008925051902905122,82.2,1037.09,120.834
42,0.008024675844388566,82.0,1054.23,123.64299999999999
43,0.00780985289149464,81.9,1071.14,126.416
44,0.00750335575445429,81.8,1088.24,129.22
45,0.0068824922349456485,81.6,1106.28,132.17700000000002
46,0.0072108461223296385,81.5,1124.15,135.107
47,0.007457660295214242,81.4,1140.57,137.798
48,0.0077449809426991655,81.3,1156.03,140.332
49,0.008011306206098221,81.1,1172.74,143.072
50,0.007340753294886832,81.0,1189.25,145.778
51,0.006187024331322736,80.9,1205.15,148.385
52,0.005877690412875992,80.8,1221.96,151.142
53,0.006340054898977203,80.7,1238.57,153.864
54,0.00650810749982802,80.6,1254.03,156.399
55,0.0066358589713082245,80.5,1268.45,158.762
56,0.006596986071749195,80.4,1284.0,161.312
57,0.006419960374792401,80.3,1299.48,163.84900000000002
58,0.006319388936445369,80.2,1314.75,166.352
59,0.006691098953084127,80.1,1330.97,169.011
60,0.006395600982046792,80.0,1346.82,171.61
61,0.005248987907759184,79.9,1361.93,174.08599999999998
62,0.00463617710364737,79.8,1376.19,176.424
63,0.004633055740733518,79.8,1391.32,178.905
64,0.0057671545160066125,79.7,1407.06,181.485
65,0.0074777627458938465,79.6,1421.48,183.84900000000002
66,0.005435388612676883,79.5,1434.88,186.046
67,0.0025627807131584687,79.4,1447.72,188.15
